node_id_from	node_id_to	length
2438716	2438721	0.652716
2438719	2438724	1.895393
794679707	794679708	5.426537
243669629	1432944010	5.460669
1432944012	1432944013	5.460669
243669629	1432944011	5.460708
1432944011	1432944012	5.460708
841243073	841243074	5.478067
794679708	794679709	5.529156
794679709	794679710	5.591838
841726789	841726790	5.616826
243669626	1432944017	5.637926
1432944017	1432944019	5.639217
243669626	1432944018	5.639218
243572584	1432944015	5.661368
1432944005	1432944006	5.661757
777902425	794679707	5.662311
1432944002	1432944003	5.662715
1432944001	1432944002	5.662718
243669641	1432944001	5.663336
243669641	1432944000	5.663339
1432944006	1432944007	5.664198
1432944015	1432944016	5.664761
243572584	1432944014	5.664762
243669648	1432944005	5.664947
243669648	1432944004	5.666985
696123766	696125175	5.698076
794697991	794697993	5.704185
243669633	1432778600	5.744552
1432778600	1432778601	5.744552
1432778601	1432778602	5.744591
243669633	1432778599	5.744591
696125175	696125176	5.760783
696125177	696125178	5.788170
696125176	696125177	5.789418
243572585	1432944008	5.810968
243572585	1432944009	5.810968
243669625	1432778597	5.816933
1432778597	1432778598	5.819731
243669625	1432778596	5.819731
1389113150	1389113152	5.833055
1389113149	1389113153	5.838938
1389113107	1389113108	5.849255
1389113127	1389113128	5.849272
1389113135	1389113136	5.849280
1389113141	1389113142	5.849304
1389113119	1389113120	5.849608
498101234	792487568	5.854800
1389113161	1389113162	5.859190
1389113175	1389113176	5.860613
1389113165	1389113166	5.860739
1389113160	1389113163	5.869344
1389113164	1389113173	5.869355
1389113174	1389113183	5.869494
1389113117	1389113118	5.872965
1389113125	1389113126	5.873258
1389113133	1389113134	5.873266
1268304974	1389113140	5.874680
1389113111	1389113112	5.876096
204705985	841243073	5.879964
174568246	174568247	5.882339
841726792	841726793	5.888784
1389113150	1389113151	5.890071
792487568	792487569	5.896508
498101233	792487571	5.906758
1389113176	1389113177	5.918924
1389113166	1389113167	5.920475
1389113159	1389113161	5.920571
1389113148	1389113149	5.922887
1389113172	1389113173	5.942826
1389113158	1389113160	5.942860
1389113182	1389113183	5.942974
792487569	792487570	5.952121
1389113120	1389113121	5.953046
1389113108	1389113109	5.954690
1389113128	1389113129	5.956299
1389113136	1389113137	5.956307
1268313462	1389113142	5.956331
792487571	792487572	5.962538
1389113144	1389113151	5.963866
841726791	841726792	5.972440
792487572	792487573	5.976891
1389113112	1389113113	5.978146
1389113124	1389113125	5.978178
1389113132	1389113133	5.978186
1268304974	1268328625	5.978210
1389113116	1389113117	5.981256
841243074	841243075	5.991289
1389113147	1389113148	6.009019
701563591	701563592	6.016523
701563594	701563595	6.033748
701563595	701563596	6.048903
701563592	701563593	6.055236
701563596	701563597	6.055242
701563593	701563594	6.056651
498101232	841726791	6.056947
1389113167	1389113168	6.079556
1389113177	1389113178	6.079754
1389113157	1389113159	6.081187
1389113181	1389113182	6.105643
1389113154	1389113158	6.105990
1389113171	1389113172	6.108974
498101231	841726788	6.150821
841726788	841726789	6.179044
794697992	794697993	6.404705
1389113146	1389113147	6.455809
1389113113	1389113114	6.457114
1268328625	1389113139	6.457163
1389113115	1389113116	6.457183
1389113123	1389113124	6.457264
1389113131	1389113132	6.458884
1389113129	1389113130	6.482738
1389113137	1389113138	6.482747
1268313462	1389113143	6.482772
1389113144	1389113145	6.485841
1389113109	1389113110	6.486020
1389113121	1389113122	6.487261
860649412	860649413	6.516250
1389113156	1389113157	6.537519
1389113168	1389113169	6.539354
1389113178	1389113179	6.540462
1432943996	1432943997	6.555229
1389113170	1389113171	6.558917
1389113180	1389113181	6.560595
1389113154	1389113155	6.562131
1432943998	1432943999	6.564261
1432943997	1432943998	6.581275
156055930	1432943996	6.583365
156055930	1432943995	6.586935
2323540	2323552	6.615843
860649411	860649412	6.691741
860649409	860649410	6.702135
860649407	860649408	6.706448
860649410	860649411	6.797972
860649408	860649409	6.850149
841229939	841229940	6.939701
841229937	841229938	6.956843
1389113162	1389113163	7.037922
1389113174	1389113175	7.038843
1389113164	1389113165	7.040349
1389113152	1389113153	7.043444
1389113126	1389113127	7.046035
1389113134	1389113135	7.046035
1389113140	1389113141	7.046251
1389113118	1389113119	7.046879
1389113107	1389113111	7.049213
860649406	860649407	7.069447
841229936	841229937	7.091911
841229938	841229939	7.115744
204705984	841229936	7.410962
702368125	702368126	7.418561
702368121	702368122	7.421641
702368123	702368124	7.435118
702368126	702368127	7.437983
702368127	702368128	7.438181
702368122	702368123	7.440961
794697991	794697994	7.777330
440419106	440419107	7.802979
677931344	677931346	8.006501
440419107	440419108	8.206737
177083406	1306285515	8.284247
191402678	191402684	8.297844
1303421671	1303421672	8.621149
316045088	316045098	8.641347
157435265	157435270	8.678262
1432778598	1432944013	8.689199
440419105	440419106	8.907740
130737012	1092316811	8.921663
175859675	175859677	8.945132
156978901	210633067	8.962824
130736796	691364909	9.157072
175176499	203039428	9.268560
677931350	677931352	9.342267
175859648	175859652	9.343702
175859304	175859308	9.447787
2815451	2815453	9.499901
440419102	440419103	9.507494
440419103	440419105	9.566214
1432778599	1432944010	9.596541
242201835	242201852	9.657987
130737380	654223864	9.707905
130736664	130736674	9.746282
157435262	157435304	9.945531
148138927	148138934	10.036406
175859673	175859675	10.058228
130737151	130737199	10.200591
130736452	130736473	10.249885
175859369	175859373	10.252011
175859355	175859358	10.259680
175859310	175859313	10.266160
175859426	175859428	10.271292
175176406	1306304317	10.295401
175859453	175859455	10.306121
348500754	348500755	10.314466
498101232	841726790	10.321521
175859307	175859310	10.400865
105305563	348500751	10.401464
1448488345	1448488346	10.403481
207217268	207217270	10.422799
148909167	680334127	10.525262
177083735	177083787	10.555842
315844866	315844887	10.664699
177083630	1306309306	10.696909
176124321	176124323	10.797240
176124319	176124321	10.844723
156978904	156978908	10.847293
4616037	4616038	10.876234
498101234	792487573	10.895490
130737105	130737110	10.917083
174874609	174874611	10.955083
175859593	175859636	10.967831
175859671	175859673	10.969990
130737260	130737282	10.975852
1306094508	1306292004	11.099562
151905973	627141711	11.177796
177083868	1303672280	11.187908
176124327	176124330	11.240265
175837008	1306301004	11.252546
176124257	1306128882	11.301355
3820354	3820362	11.329397
175859457	175859458	11.370011
175859350	175859355	11.381723
175859455	175859457	11.411643
175859465	175859467	11.443812
2969263	2969264	11.475524
175837142	1303411246	11.479745
177083786	177083827	11.482843
176124432	176124435	11.490982
1432944016	1432944018	11.492108
130736222	130737320	11.508345
157435312	157435320	11.522884
175859407	175859411	11.530024
316635271	316635272	11.530937
130736573	709237995	11.550610
177083314	177083317	11.552182
149441019	1306307020	11.583229
2307989	2308007	11.625529
316503853	316503884	11.635986
177083630	177084569	11.663442
149441026	149441068	11.707043
130736367	130736371	11.777741
242350121	1306093518	11.785671
148138934	148138950	11.838761
207217249	207217250	11.845222
175859456	175859459	11.856933
176124347	176124356	11.868444
156978911	210633067	11.874625
175859302	175859677	11.881086
175859442	175859444	11.901942
175176370	175176381	11.903505
175859638	175859639	11.910919
316045154	316045430	11.913872
177083850	177084351	11.920455
175859475	175859480	11.963278
174874509	174874514	11.982707
175859303	175859307	11.996554
242350099	242350101	12.000237
315882725	315882813	12.022232
175859652	175859653	12.033030
175859437	1306094511	12.041667
315265383	1303823668	12.043386
316635270	316635271	12.046640
152795418	152795425	12.053081
175859472	175859475	12.060996
1432944008	1432944014	12.069347
105305493	140152785	12.070096
176124302	176124304	12.082529
242350101	242350103	12.098378
207217227	207217246	12.106213
175859404	175859407	12.162003
175859352	175859356	12.195240
175859669	175859671	12.209545
175859438	175859440	12.233044
1306292006	1306292061	12.235081
175176281	1306126598	12.283995
1306292004	1306292005	12.287303
177083572	177083635	12.330862
242199267	242199268	12.335343
174874726	3224558013	12.359579
175176381	175176382	12.362205
105329137	105329143	12.375629
3564569	3564571	12.397055
175176324	175176393	12.416741
191402735	209740496	12.426287
19062673	1301916366	12.430158
175859468	175859472	12.431877
175859676	175859678	12.444369
177084119	1303415307	12.466182
177083913	1304382044	12.483154
704455860	704455861	12.536998
316635128	316635164	12.537252
175859356	175859369	12.545264
315844832	315844848	12.554851
177084043	177084102	12.569233
175859358	175859371	12.588672
175859451	175859453	12.589050
315898354	315898370	12.635750
176124543	176124549	12.647507
130737177	130737200	12.669868
3552842	3552843	12.687692
315882725	1303820848	12.701559
1432944007	1432944009	12.711599
175859408	175859418	12.747192
130736243	130737350	12.749177
175859467	175859468	12.773394
1306292007	1306292062	12.790292
242960516	242960589	12.806910
157435263	157435265	12.828243
242350148	242350156	12.852923
176124413	176124416	12.853033
191402669	191402679	12.854884
130737205	130737334	12.861639
175859610	175859660	12.870263
175834244	175834260	12.878837
176124342	176124344	12.890565
243380267	1453376336	12.895731
175859303	175859678	12.916493
177084237	177084358	12.951186
175859435	175859438	12.967143
130737193	130737197	12.967465
176124190	176124212	13.017705
1303405842	1303405843	13.018120
165318307	165318308	13.018621
130737056	130737154	13.064774
1306292062	1306292063	13.085353
130736160	1306095257	13.086925
1303405844	1303405845	13.087587
1303405843	1303405844	13.090324
130737021	130737028	13.093532
1303406174	1303406175	13.094015
175859295	175859363	13.094854
209587710	209587712	13.097412
175859513	175859517	13.105053
176124614	176124617	13.144540
315856350	315856355	13.152376
207217246	207217268	13.157112
175859382	175859388	13.180886
176124343	176124345	13.188326
176124323	176124327	13.208659
316635115	316635164	13.225786
130736359	130736370	13.238279
316008797	316008849	13.238987
174874491	1306309871	13.246939
130736933	130737206	13.265372
242970251	242970308	13.276746
148138914	148138927	13.278284
177083733	177083786	13.282734
175859450	175859452	13.315856
176124316	176124319	13.324017
1303405845	1303405846	13.339028
242350119	1306093518	13.343880
163725087	163725095	13.353937
